ID#age#job#marital#education#default#balance#housing#loan#contact#day#month#campaign#pdays#previous#poutcome#y
31900#34,0#services#single#primary#no#25,0#yes#yes#cellular#9#apr#4,0#314,0#8#other#no
6597#52,0#admin.#single#secondary#no#1964,0#no#yes#unknown#28#may#1,0#-1,0#0#unknown#no
20659#49,0#technician#divorced#secondary#no#-96,0#no#yes#cellular#12#aug#3,0#-1,0#0#unknown#no
38097#29,0#blue-collar#single#secondary#no#555,0#yes#no#cellular#15#may#4,0#-1,0#0#unknown#no
5005#36,0#management#single#tertiary#no#247,0#no#no#unknown#21#may#5,0#-1,0#0#unknown#no
7062#29,0#technician#single#secondary#no#740,0#yes#no#unknown#28#may#3,0#-1,0#0#unknown#no
23864#34,0#admin.#married#secondary#no#96,0#no#no#cellular#29#aug#2,0#-1,0#0#unknown#no
25081#35,0#services#single#secondary#no#0,0#no#no#cellular#18#nov#1,0#-1,0#0#unknown#no
11422#57,0#retired#married#secondary#no#712,0#yes#yes#unknown#19#jun#1,0#-1,0#0#unknown#no
2594#44,0#admin.#married#secondary#no#1423,0#yes#no#unknown#13#may#4,0#-1,0#0#unknown#no
5182#30,0#blue-collar#single#secondary#no#906,0#yes#yes#unknown#21#may#7,0#-1,0#0#unknown#no
25381#43,0#services#married#secondary#no#508,0#yes#no#cellular#18#nov#1,0#172,0#1#failure#no
37004#41,0#admin.#single#secondary#no#334,0#yes#no#cellular#13#may#4,0#331,0#22#other#no
6807#33,0#blue-collar#married#secondary#no#580,0#yes#no#unknown#28#may#1,0#-1,0#0#unknown#no
32065#75,0#retired#divorced#secondary#no#105,0#no#no#cellular#14#apr#1,0#-1,0#0#unknown#no
38362#37,0#blue-collar#married#primary#no#508,0#yes#yes#cellular#15#may#1,0#-1,0#0#unknown#no
24074#42,0#admin.#single#secondary#no#164,0#yes#yes#unknown#22#oct#1,0#-1,0#0#unknown#no
10186#41,0#housemaid#divorced#secondary#no#637,0#yes#yes#unknown#11#jun#4,0#-1,0#0#unknown#no
28287#28,0#admin.#married#secondary#no#172,0#yes#no#cellular#29#jan#1,0#248,0#2#other#no
38909#33,0#management#married#secondary#no#588,0#yes#no#cellular#18#may#5,0#-1,0#0#unknown#no
6790#31,0#technician#single#primary#no#449,0#yes#no#unknown#28#may#1,0#-1,0#0#unknown#no
6647#28,0#blue-collar#single#secondary#no#802,0#yes#no#unknown#28#may#3,0#-1,0#0#unknown#no
6069#34,0#blue-collar#married#secondary#no#247,0#yes#yes#unknown#26#may#5,0#-1,0#0#unknown#no
39329#26,0#blue-collar#single#secondary#no#23,0#yes#no#cellular#18#may#6,0#367,0#1#other#no
10127#36,0#self-employed#married#tertiary#no#2517,0#no#no#unknown#11#jun#2,0#-1,0#0#unknown#no
26481#39,0#management#married#tertiary#no#225,0#yes#no#cellular#20#nov#2,0#-1,0#0#unknown#no
28645#26,0#admin.#single#secondary#no#1200,0#no#no#cellular#29#jan#3,0#-1,0#0#unknown#no
8920#42,0#services#married#secondary#no#717,0#yes#no#unknown#4#jun#6,0#-1,0#0#unknown#no
37399#22,0#management#single#tertiary#no#374,0#yes#no#cellular#13#may#5,0#-1,0#0#unknown#no
10797#54,0#blue-collar#single#unknown#no#6622,0#no#no#unknown#17#jun#1,0#-1,0#0#unknown#no
8256#33,0#admin.#married#secondary#no#471,0#yes#no#unknown#2#jun#2,0#-1,0#0#unknown#no
24994##technician#married#secondary#no#532,0#yes#yes#cellular#18#nov#1,0#-1,0#0#unknown#no
1212#48,0#blue-collar#divorced#primary#no#-18,0#yes#no#unknown#8#may#1,0#-1,0#0#unknown#no
42885#33,0#admin.#married#tertiary#no#0,0#yes#yes#cellular#4#feb#5,0#98,0#2#other#no
23895#55,0#admin.#married#secondary#no#0,0#no#no#cellular#29#aug#2,0#-1,0#0#unknown#no
8680#29,0#self-employed#married#tertiary#no#3931,0#yes#no#unknown#3#jun#4,0#-1,0#0#unknown#no
35260#33,0#admin.#single#tertiary#no#475,0#yes#no#cellular#7#may#1,0#-1,0#0#unknown#yes
8211#38,0#technician#single#secondary#no#2990,0#yes#no#unknown#2#jun#2,0#-1,0#0#unknown#no
10079#36,0#technician#married#tertiary#no#4139,0#no#no#unknown#11#jun#4,0#-1,0#0#unknown#no
5767#38,0#services#single#secondary#no#322,0#yes#no#unknown#26#may#1,0#-1,0#0#unknown#no
28865#35,0#blue-collar#married#secondary#no#210,0#yes#no#cellular#30#jan#3,0#-1,0#0#unknown#no
44665#41,0#unemployed#single#tertiary#no#7968,0#no#no#cellular#2#sep#1,0#184,0#4#success#yes
38855##blue-collar#married#primary#no#-75,0#yes#no#cellular#18#may#1,0#-1,0#0#unknown#no
28477##unemployed#single#primary#no#1459,0#yes#no#telephone#29#jan#1,0#-1,0#0#unknown#no
17160#51,0#entrepreneur#married#secondary#yes#-2082,0#no#yes#cellular#28#jul#6,0#-1,0#0#unknown#no
25859#47,0#unemployed#married#secondary#no#351,0#yes#yes#cellular#19#nov#1,0#174,0#1#failure#no
32576#54,0#management#married#secondary#no#-133,0#yes#no#cellular#17#apr#1,0#343,0#2#failure#no
8750#29,0#admin.#married#secondary#no#943,0#yes#no#unknown#4#jun#1,0#-1,0#0#unknown#no
42909#30,0#student#single#unknown#no#145,0#no#no#cellular#5#feb#3,0#175,0#1#failure#no
14311#28,0#services#married#secondary#no#7,0#yes#yes#cellular#14#jul#4,0#-1,0#0#unknown#no
25235#32,0#management#single#tertiary#no#0,0#yes#no#cellular#18#nov#2,0#168,0#1#other#no
43564#54,0#admin.#married#unknown#no#140,0#no#no#telephone#27#apr#2,0#182,0#2#failure#yes
3486#31,0#blue-collar#married#primary#no#605,0#yes#no#unknown#15#may#10,0#-1,0#0#unknown#no
37771##blue-collar#married#primary#no#99,0#yes#no#telephone#14#may#1,0#-1,0#0#unknown#no
27245#49,0#admin.#divorced#secondary#no#771,0#yes#no#cellular#21#nov#2,0#172,0#1#failure#no
19179#46,0#technician#married#secondary#no#940,0#no#no#cellular#5#aug#2,0#-1,0#0#unknown#yes
30737##admin.#divorced#secondary#no#183,0#no#yes#cellular#6#feb#7,0#217,0#1#failure#no
38109#41,0#self-employed#married#unknown#no#1377,0#yes#no#cellular#15#may#4,0#371,0#2#other#no
21785#56,0#blue-collar#married#primary#no#2324,0#yes#no#telephone#19#aug#4,0#-1,0#0#unknown#no
13984##blue-collar#married#secondary#no#0,0#yes#yes#cellular#10#jul#1,0#-1,0#0#unknown#yes
7606#52,0#technician#married#tertiary#no#1405,0#yes#yes#unknown#30#may#1,0#-1,0#0#unknown#no
36486#47,0#services#married#secondary#no#600,0#yes#yes#cellular#12#may#8,0#-1,0#0#unknown#no
29624#27,0#blue-collar#single#primary#no#1,0#no#no#cellular#3#feb#6,0#-1,0#0#unknown#no
14125#48,0#admin.#divorced#secondary#no#0,0#no#yes#cellular#11#jul#3,0#-1,0#0#unknown#no
25236#46,0#management#married#tertiary#no#0,0#no#no#cellular#18#nov#2,0#110,0#3#other#yes
23651#53,0#services#married#secondary#no#658,0#no#no#cellular#28#aug#25,0#-1,0#0#unknown#no
37089#38,0#blue-collar#married#primary#no#354,0#yes#no#telephone#13#may#1,0#-1,0#0#unknown#no
20377#50,0#self-employed#married#secondary#no#111,0#no#no#cellular#11#aug#3,0#-1,0#0#unknown#no
606#39,0#blue-collar#married#secondary#no#285,0#yes#yes#unknown#6#may#1,0#-1,0#0#unknown#no
20874#30,0#management#married#secondary#no#877,0#yes#yes#cellular#13#aug#5,0#-1,0#0#unknown#no
14097#57,0#admin.#married#secondary#no#2518,0#yes#no#cellular#11#jul#2,0#-1,0#0#unknown#no
21891#38,0#management#single#tertiary#no#38,0#no#no#cellular#20#aug#2,0#-1,0#0#unknown#no
2141#46,0#services#married#secondary#no#997,0#yes#no#unknown#12#may#1,0#-1,0#0#unknown#no
23550#31,0#management#married#tertiary#no#60,0#no#no#cellular#28#aug#2,0#-1,0#0#unknown#no
3895#41,0#management#married#tertiary#no#223,0#yes#no#unknown#16#may#1,0#-1,0#0#unknown#no
38349#34,0#blue-collar#single#primary#no#4260,0#yes#no#cellular#15#may#1,0#-1,0#0#unknown#no
41302#36,0#technician#single#tertiary#no#40,0#no#no#cellular#26#aug#3,0#-1,0#0#unknown#no
9288#57,0#technician#married#primary#no#0,0#no#no#unknown#5#jun#8,0#-1,0#0#unknown#no
12721#30,0#services#single#secondary#no#0,0#yes#no#cellular#7#jul#2,0#-1,0#0#unknown#no
36506#34,0#blue-collar#married#secondary#no#0,0#yes#yes#cellular#12#may#2,0#288,0#12#failure#no
13809##admin.#married#secondary#no#0,0#yes#no#cellular#10#jul#1,0#-1,0#0#unknown#yes
18390#35,0#blue-collar#married#secondary#no#86,0#no#no#cellular#31#jul#2,0#-1,0#0#unknown#no
27456#49,0#services#married#primary#no#4713,0#yes#no#telephone#21#nov#1,0#-1,0#0#unknown#no
28292#35,0#retired#married#primary#no#285,0#yes#no#cellular#29#jan#1,0#-1,0#0#unknown#no
28341##blue-collar#single#primary#no#1209,0#no#no#cellular#29#jan#1,0#-1,0#0#unknown#no
25597#39,0#admin.#married#secondary#no#168,0#yes#no#cellular#19#nov#1,0#-1,0#0#unknown#no
15893#32,0#blue-collar#married#secondary#no#-249,0#yes#yes#cellular#21#jul#3,0#-1,0#0#unknown#no
19119#38,0#admin.#married#tertiary#no#1980,0#no#no#cellular#5#aug#2,0#-1,0#0#unknown#no
45030#40,0#housemaid#married#primary#no#979,0#no#no#cellular#15#oct#4,0#-1,0#0#unknown#no
33455#30,0#technician#married#secondary#no#239,0#yes#no#cellular#20#apr#3,0#150,0#10#failure#no
6960#31,0#management#single#tertiary#no#305,0#yes#no#unknown#28#may#14,0#-1,0#0#unknown#no
7286#28,0#technician#single#secondary#no#1,0#yes#no#unknown#29#may#3,0#-1,0#0#unknown#no
21266#45,0#blue-collar#married#primary#no#185,0#no#no#cellular#18#aug#14,0#-1,0#0#unknown#no
28920#44,0#self-employed#married#secondary#no#335,0#no#no#cellular#2#feb#1,0#-1,0#0#unknown#no
36788#35,0#blue-collar#single#secondary#no#68,0#yes#no#cellular#12#may#1,0#347,0#6#failure#no
15311#46,0#self-employed#single#secondary#no#69,0#no#yes#cellular#18#jul#2,0#-1,0#0#unknown#no
17715#47,0#management#married#tertiary#no#24312,0#yes#no#cellular#29#jul#3,0#-1,0#0#unknown#no
10989#34,0#technician#single#secondary#no#-269,0#yes#no#unknown#17#jun#3,0#-1,0#0#unknown#no
8926#50,0#blue-collar#married#primary#no#42,0#yes#no#unknown#4#jun#3,0#-1,0#0#unknown#no
21336#43,0#management#married#tertiary#no#13044,0#no#no#cellular#18#aug#4,0#-1,0#0#unknown#no
23912##technician#divorced#secondary#no#2595,0#yes#no#cellular#29#aug#2,0#-1,0#0#unknown#no
13014#36,0#blue-collar#married#secondary#no#-308,0#yes#no#cellular#7#jul#11,0#-1,0#0#unknown#no
22163#34,0#technician#married#secondary#no#-255,0#yes#no#cellular#21#aug#2,0#-1,0#0#unknown#no
42409##retired#married#unknown#no#1940,0#no#no#telephone#4#dec#2,0#-1,0#0#unknown#yes
11115#39,0#admin.#married#secondary#no#224,0#no#no#unknown#18#jun#2,0#-1,0#0#unknown#no
6469#34,0#blue-collar#married#secondary#no#-1725,0#yes#no#unknown#27#may#2,0#-1,0#0#unknown#no
6426#31,0#technician#married#secondary#no#-360,0#yes#no#unknown#27#may#2,0#-1,0#0#unknown#no
7714##admin.#married#secondary#no#4539,0#no#no#unknown#30#may#3,0#-1,0#0#unknown#no
25791#47,0#admin.#divorced#secondary#no#1939,0#yes#no#cellular#19#nov#1,0#174,0#1#failure#no
23768#41,0#technician#divorced#secondary#no#195,0#no#no#cellular#28#aug#1,0#-1,0#0#unknown#no
43089#39,0#management#single#tertiary#no#763,0#no#no#cellular#22#feb#1,0#189,0#1#failure#yes
43328#27,0#technician#single#tertiary#no#1976,0#no#no#cellular#18#mar#2,0#101,0#1#other#no
20150#32,0#management#divorced#tertiary#no#787,0#yes#no#cellular#11#aug#2,0#-1,0#0#unknown#no
37764##student#married#secondary#no#704,0#yes#yes#cellular#14#may#3,0#-1,0#0#unknown#no
35473#47,0#management#married#tertiary#no#618,0#yes#no#cellular#7#may#2,0#359,0#3#failure#no
43605#60,0#technician#married#secondary#no#2389,0#yes#yes#cellular#4#may#1,0#-1,0#0#unknown#no
12903##retired#divorced#tertiary#no#468,0#no#no#cellular#7#jul#2,0#-1,0#0#unknown#no
83#42,0#technician#single#secondary#no#690,0#yes#no#unknown#5#may#1,0#-1,0#0#unknown#no
16297#46,0#blue-collar#married#primary#no#2427,0#no#no#cellular#23#jul#1,0#-1,0#0#unknown#no
15236#54,0#self-employed#married#tertiary#no#269,0#yes#no#cellular#17#jul#3,0#-1,0#0#unknown#no
32713#57,0#blue-collar#married#primary#no#93,0#yes#no#telephone#17#apr#1,0#-1,0#0#unknown#no
17624#41,0#unemployed#married#secondary#no#510,0#no#no#cellular#29#jul#2,0#-1,0#0#unknown#no
8417#41,0#blue-collar#single#secondary#no#948,0#yes#no#unknown#3#jun#1,0#-1,0#0#unknown#no
16088#43,0#services#married#secondary#no#87,0#no#no#cellular#22#jul#1,0#-1,0#0#unknown#no
22297#54,0#management#married#tertiary#no#1090,0#no#no#cellular#21#aug#7,0#-1,0#0#unknown#no
27328#58,0#management#divorced#tertiary#no#26254,0#yes#no#cellular#21#nov#1,0#31,0#1#failure#no
32399#48,0#admin.#single#secondary#no#6627,0#yes#no#cellular#16#apr#2,0#-1,0#0#unknown#no
29079#38,0#admin.#married#secondary#no#-500,0#no#yes#cellular#2#feb#1,0#195,0#5#other#no
8410#35,0#admin.#single#secondary#no#182,0#yes#no#unknown#3#jun#1,0#-1,0#0#unknown#no
32847#45,0#technician#married#secondary#no#396,0#yes#no#cellular#17#apr#4,0#-1,0#0#unknown#no
10019#59,0#management#married#tertiary#no#2020,0#no#yes#unknown#9#jun#2,0#-1,0#0#unknown#no
18159#42,0#services#married#unknown#no#1340,0#no#yes#cellular#30#jul#5,0#-1,0#0#unknown#no
26606#35,0#blue-collar#divorced#secondary#no#3102,0#yes#no#cellular#20#nov#1,0#-1,0#0#unknown#no
27143#56,0#blue-collar#married#secondary#no#2583,0#no#no#cellular#21#nov#1,0#-1,0#0#unknown#no
2992#45,0#unemployed#married#primary#no#1292,0#yes#no#unknown#14#may#2,0#-1,0#0#unknown#no
25111#49,0#management#single#tertiary#no#1093,0#yes#no#cellular#18#nov#1,0#-1,0#0#unknown#no
28671##blue-collar#married#secondary#no#6411,0#yes#yes#cellular#30#jan#1,0#266,0#2#failure#no
32164#58,0#retired#divorced#primary#no#2745,0#no#yes#cellular#15#apr#1,0#-1,0#0#unknown#no
29573#30,0#technician#single#secondary#no#151,0#no#no#cellular#3#feb#2,0#-1,0#0#unknown#no
32569#43,0#services#married#primary#no#-88,0#yes#yes#cellular#17#apr#1,0#147,0#2#failure#no
6043#33,0#blue-collar#married#secondary#no#61,0#yes#no#unknown#26#may#3,0#-1,0#0#unknown#no
38358#24,0#self-employed#single#tertiary#no#91,0#yes#no#cellular#15#may#2,0#-1,0#0#unknown#no
13781#39,0#technician#single#secondary#no#709,0#yes#no#cellular#10#jul#1,0#-1,0#0#unknown#no
19726#38,0#technician#married#secondary#no#740,0#no#no#cellular#7#aug#3,0#-1,0#0#unknown#no
32378#48,0#blue-collar#married#secondary#no#113,0#yes#no#cellular#16#apr#2,0#318,0#5#other#no
38929#32,0#technician#single#tertiary#no#-770,0#yes#no#cellular#18#may#1,0#-1,0#0#unknown#yes
16698#36,0#management#single#tertiary#no#124,0#yes#no#telephone#24#jul#4,0#-1,0#0#unknown#no
45209#72,0#retired#married#secondary#no#5715,0#no#no#cellular#17#nov#5,0#184,0#3#success#yes
34716#37,0#admin.#single#secondary#no#597,0#yes#no#cellular#5#may#1,0#-1,0#0#unknown#no
8578#37,0#services#married#secondary#no#1325,0#no#no#unknown#3#jun#3,0#-1,0#0#unknown#no
11093#50,0#services#married#secondary#no#1134,0#no#no#unknown#18#jun#2,0#-1,0#0#unknown#no
39406#33,0#student#single#unknown#no#86,0#no#no#cellular#22#may#1,0#-1,0#0#unknown#no
43885#59,0#blue-collar#married#secondary#no#448,0#no#no#unknown#8#jun#1,0#651,0#7#other#no
10922#46,0#services#married#secondary#no#0,0#no#no#unknown#17#jun#5,0#-1,0#0#unknown#no
38165#34,0#blue-collar#married#secondary#no#-257,0#yes#no#cellular#15#may#1,0#368,0#4#failure#no
21142#47,0#blue-collar#married#primary#no#584,0#yes#yes#cellular#14#aug#2,0#-1,0#0#unknown#no
8006#34,0#blue-collar#married#secondary#no#516,0#yes#yes#unknown#2#jun#1,0#-1,0#0#unknown#no
1876#44,0#blue-collar#married#primary#no#-11,0#yes#no#unknown#9#may#1,0#-1,0#0#unknown#no
35655#53,0#technician#married#tertiary#no#7,0#no#yes#cellular#8#may#1,0#368,0#1#failure#no
19114##services#married#secondary#no#1573,0#no#no#cellular#5#aug#1,0#-1,0#0#unknown#no
18160#44,0#services#married#secondary#no#1326,0#no#no#cellular#30#jul#1,0#-1,0#0#unknown#no
19170##technician#divorced#secondary#no#146,0#yes#no#cellular#5#aug#3,0#-1,0#0#unknown#yes
35541##blue-collar#single#tertiary#no#3014,0#yes#no#cellular#7#may#2,0#-1,0#0#unknown#no
39082#33,0#technician#single#unknown#no#135,0#yes#no#cellular#18#may#1,0#-1,0#0#unknown#no
9256#49,0#admin.#married#secondary#no#1677,0#no#no#unknown#5#jun#3,0#-1,0#0#unknown#no
30976#31,0#management#single#tertiary#no#153,0#no#no#cellular#9#feb#3,0#-1,0#0#unknown#no
28102##admin.#married#secondary#no#-257,0#no#no#cellular#28#jan#3,0#-1,0#0#unknown#no
6465#36,0#services#single#secondary#no#-330,0#yes#no#unknown#27#may#2,0#-1,0#0#unknown#no
15451#49,0#admin.#married#primary#no#246,0#yes#no#cellular#18#jul#5,0#-1,0#0#unknown#no
30785#56,0#entrepreneur#married#secondary#no#1272,0#no#no#cellular#6#feb#2,0#-1,0#0#unknown#no
22985##management#married#tertiary#no#0,0#no#no#cellular#26#aug#2,0#-1,0#0#unknown#no
31671#36,0#technician#married#secondary#no#0,0#yes#no#cellular#6#apr#3,0#335,0#2#other#no
29975#43,0#admin.#single#secondary#no#6,0#no#no#cellular#4#feb#1,0#264,0#1#failure#no
41905#36,0#technician#married#secondary#no#480,0#no#no#cellular#20#oct#1,0#-1,0#0#unknown#yes
13616#35,0#blue-collar#married#secondary#no#-258,0#yes#no#cellular#9#jul#1,0#-1,0#0#unknown#no
16259#50,0#management#married#tertiary#no#19,0#no#yes#cellular#23#jul#1,0#-1,0#0#unknown#no
44298#69,0#retired#married#secondary#no#0,0#no#no#cellular#27#jul#1,0#90,0#4#success#yes
20310##technician#divorced#secondary#no#353,0#no#no#cellular#11#aug#1,0#-1,0#0#unknown#no
4268#28,0#management#single#tertiary#no#3238,0#yes#no#unknown#19#may#1,0#-1,0#0#unknown#no
8562#38,0#management#single#tertiary#no#1602,0#yes#no#unknown#3#jun#3,0#-1,0#0#unknown#no
40751#42,0#technician#single#unknown#no#11115,0#no#no#cellular#10#aug#1,0#102,0#1#success#yes
14761#28,0#management#single#tertiary#no#0,0#yes#no#cellular#16#jul#5,0#-1,0#0#unknown#yes
25800#43,0#blue-collar#married#primary#no#25,0#yes#no#cellular#19#nov#1,0#-1,0#0#unknown#no
14197#37,0#blue-collar#married#secondary#no#1059,0#yes#no#cellular#11#jul#2,0#-1,0#0#unknown#no
28031#55,0#unemployed#married#primary#no#8585,0#no#no#telephone#28#jan#2,0#-1,0#0#unknown#no
16258##technician#married#secondary#no#0,0#no#yes#cellular#23#jul#1,0#-1,0#0#unknown#no
8419#42,0#blue-collar#married#primary#no#187,0#yes#no#unknown#3#jun#1,0#-1,0#0#unknown#no
12740#37,0#self-employed#married#secondary#no#1523,0#no#yes#cellular#7#jul#2,0#-1,0#0#unknown#no
22252#37,0#self-employed#married#secondary#no#744,0#yes#yes#cellular#21#aug#3,0#-1,0#0#unknown#no
11944#57,0#technician#divorced#secondary#no#1168,0#no#no#unknown#20#jun#5,0#-1,0#0#unknown#no
20539#38,0#management#married#tertiary#no#0,0#no#no#cellular#12#aug#2,0#-1,0#0#unknown#no
3725#47,0#blue-collar#married#primary#no#1756,0#yes#no#unknown#16#may#1,0#-1,0#0#unknown#no
31659#32,0#technician#single#tertiary#no#948,0#yes#no#cellular#6#apr#2,0#-1,0#0#unknown#no
2964#40,0#admin.#divorced#secondary#no#1000,0#yes#no#unknown#14#may#1,0#-1,0#0#unknown#no
3704##admin.#divorced#tertiary#no#146,0#yes#no#unknown#16#may#1,0#-1,0#0#unknown#no
40524#38,0#student#married#unknown#no#0,0#no#no#cellular#8#jul#1,0#385,0#1#failure#yes
38821#24,0#blue-collar#single#primary#no#2129,0#yes#yes#telephone#18#may#1,0#-1,0#0#unknown#no
31490#58,0#management#divorced#tertiary#no#315,0#yes#no#cellular#1#apr#2,0#135,0#2#failure#no
845#37,0#services#single#secondary#no#-196,0#yes#no#unknown#7#may#1,0#-1,0#0#unknown#no
37994#53,0#services#divorced#secondary#no#765,0#yes#no#cellular#14#may#3,0#174,0#7#other#yes
45089##management#single#tertiary#no#1373,0#no#no#cellular#22#oct#4,0#-1,0#0#unknown#no
3236#54,0#technician#divorced#secondary#no#1705,0#yes#no#unknown#15#may#2,0#-1,0#0#unknown#no
14918##unemployed#married#secondary#no#2629,0#no#no#cellular#16#jul#2,0#-1,0#0#unknown#no
32337#28,0#admin.#married#secondary#no#1428,0#yes#no#cellular#16#apr#1,0#-1,0#0#unknown#no
35750#56,0#blue-collar#married#primary#no#-116,0#yes#no#cellular#8#may#2,0#-1,0#0#unknown#no
21012#39,0#technician#married#tertiary#no#99,0#no#no#cellular#14#aug#2,0#-1,0#0#unknown#no
2052#50,0#management#married#tertiary#no#107,0#yes#no#unknown#12#may#5,0#-1,0#0#unknown#no
41258#77,0#retired#married#primary#no#680,0#no#no#telephone#25#aug#3,0#-1,0#0#unknown#no
16712#34,0#management#married#tertiary#no#889,0#yes#no#cellular#24#jul#1,0#-1,0#0#unknown#no
16927#53,0#management#married#tertiary#no#5261,0#no#yes#cellular#25#jul#3,0#-1,0#0#unknown#no
32013#32,0#admin.#divorced#secondary#no#410,0#yes#no#cellular#14#apr#1,0#-1,0#0#unknown#no
3491#27,0#services#married#secondary#no#94,0#yes#no#unknown#15#may#2,0#-1,0#0#unknown#no
28032#41,0#technician#married#secondary#no#0,0#no#no#cellular#28#jan#2,0#156,0#8#other#no
42682##retired#married#primary#no#2173,0#no#no#cellular#15#jan#4,0#276,0#1#failure#no
29278#26,0#services#single#secondary#no#37,0#no#yes#cellular#2#feb#5,0#-1,0#0#unknown#no
43806#29,0#technician#divorced#secondary#no#124,0#no#no#unknown#27#may#1,0#-1,0#0#unknown#no
35685#39,0#services#married#secondary#no#100,0#yes#no#cellular#8#may#1,0#-1,0#0#unknown#no
1122#49,0#blue-collar#married#unknown#no#51,0#yes#no#unknown#7#may#1,0#-1,0#0#unknown#no
24322#58,0#management#married#tertiary#no#7387,0#no#no#telephone#17#nov#1,0#-1,0#0#unknown#no
3684#57,0#management#married#tertiary#no#3431,0#yes#no#unknown#16#may#1,0#-1,0#0#unknown#no
14134#56,0#housemaid#married#primary#no#0,0#yes#yes#cellular#11#jul#2,0#-1,0#0#unknown#no
8852#24,0#services#single#secondary#no#-141,0#yes#no#unknown#4#jun#2,0#-1,0#0#unknown#no
27730#59,0#management#married#tertiary#no#2143,0#yes#no#cellular#28#jan#1,0#268,0#1#failure#no
11210#37,0#services#married#unknown#no#-224,0#no#no#unknown#18#jun#2,0#-1,0#0#unknown#no
18294#58,0#blue-collar#married#primary#no#0,0#yes#no#cellular#31#jul#25,0#-1,0#0#unknown#no
